name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mansoura, Egypt",2023-02-05,20.3,7.4,13.4,20.3,5.7,13,5.3,62.4,0,0,0,,0,0,52.6,25.6,227.9,1012,41.1,21.8,178.2,15.5,7,10,2023-02-05T06:44:11,2023-02-05T17:33:12,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-06,15.7,8.4,11.5,15.7,6.2,10.5,4.5,63.5,0.1,100,4.17,rain,0,0,58.3,27.4,249.9,1011.4,54.6,20.8,126.7,10.9,6,10,2023-02-06T06:43:28,2023-02-06T17:34:05,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-02-07,16.2,7.5,11.2,16.2,5.1,10.3,5.8,71.8,0,0,0,rain,0,0,48.6,24.1,274.9,1018.2,70.7,21.1,112.9,9.7,5,10,2023-02-07T06:42:44,2023-02-07T17:34:57,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-08,15.1,5.9,10.3,15.1,5.4,9.8,4.4,69.6,0.1,100,4.17,rain,0,0,37.1,15.1,302.5,1023.8,59.2,21.1,106.9,9.2,7,10,2023-02-08T06:41:58,2023-02-08T17:35:49,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-02-09,16.5,4.4,9.9,16.5,3.4,9.6,2.9,65.5,0,0,0,,0,0,18,8.3,312.1,1024.3,53.1,23.5,182.4,15.5,7,10,2023-02-09T06:41:11,2023-02-09T17:36:41,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-10,17.9,4.6,11.1,17.9,4.6,11,6.8,77.2,0,0,0,,0,0,25.9,13,11.9,1021.2,25.2,21.2,178,15.4,7,10,2023-02-10T06:40:22,2023-02-10T17:37:32,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-11,14.8,7.1,10.8,14.8,7.1,10.7,8.2,84.2,2.6,100,33.33,rain,0,0,31.3,15.1,16,1019.5,67.8,20.2,124.9,10.8,6,10,2023-02-11T06:39:32,2023-02-11T17:38:23,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-02-12,16.9,5.1,10.9,16.9,5.1,10.8,5.4,72.6,0,0,0,,0,0,26.3,13,323.4,1022.9,45.4,21.7,169.4,14.6,7,10,2023-02-12T06:38:42,2023-02-12T17:39:14,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-13,17,5.1,10.7,17,5.1,10.7,6.1,76.3,0,0,0,,0,0,29.5,13.7,340.9,1023.6,26.3,21.7,122.9,10.6,6,10,2023-02-13T06:37:50,2023-02-13T17:40:04,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-14,16.7,5.6,10.5,16.7,5.6,10.5,6.9,80.1,0.6,100,20.83,rain,0,0,24.8,10.1,344.1,1020.3,35.4,20.5,152,13.1,7,10,2023-02-14T06:36:56,2023-02-14T17:40:54,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-02-15,17.4,5.7,11.1,17.4,4.7,10.9,6.5,76.5,0,0,0,rain,0,0,26.6,13,302.8,1020.7,39.9,22.2,154.3,13.5,7,10,2023-02-15T06:36:02,2023-02-15T17:41:44,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-16,18.6,6.8,12,18.6,5.5,11.5,6.7,73.8,0,0,0,rain,0,0,30.2,13.7,311.5,1024.5,40.6,22.1,115.4,9.9,7,10,2023-02-16T06:35:07,2023-02-16T17:42:33,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-17,19,6.5,12,19,6.5,11.9,6.5,73,0,0,0,rain,0,0,36,17.6,30.4,1027.8,24.3,23.5,95.7,8.3,5,10,2023-02-17T06:34:10,2023-02-17T17:43:22,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-18,19.7,6.8,12,19.7,6.7,11.9,6.1,70.1,0,0,0,,0,0,33.8,16.2,25.9,1027.1,32.5,22.3,207.2,18,8,10,2023-02-18T06:33:12,2023-02-18T17:44:10,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-19,20.2,7,12.9,20.2,7,12.8,7.5,73.1,0,0,0,,0,0,30.6,14.4,19.4,1025.3,28,21.8,209.5,18.2,8,10,2023-02-19T06:32:14,2023-02-19T17:44:58,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-20,20.2,8.7,13.2,20.2,8.5,13.2,7.8,72.5,0,0,0,,0,0,31.7,14.4,344.8,1022.6,53.5,21.8,212.3,18.2,8,10,2023-02-20T06:31:14,2023-02-20T17:45:46,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
